Name,Company,PriorCareer,YearsWorked,AgeAtEnrollment,University,Country,Domestic/Overseas,QuitJob,ContinueWorking,Funding,Scholarship,EnglishLevel,Graduation,Reason,CareerAfter,Difficulty,Merit,URL,SourceType,Reliability,Notes
Dexter Holland,The Offspring,ミュージシャン,N/A（音楽と並行）,不明,University of Southern California (USC),アメリカ,Overseas,No,Yes,不明,N/A,母語（英語圏）,2017/5取得,中断していた研究の完遂,音楽継続・研究,約20年中断,分子生物学博士（HIV研究）,https://en.wikipedia.org/wiki/Dexter_Holland,新聞/百科事典,高,USC修士後に中断
Brian May,Queen,ミュージシャン,N/A（音楽と並行）,不明,Imperial College London,イギリス,Overseas,No,Yes,不明,N/A,母語（英語圏）,2007取得,中断していた研究の完遂,音楽継続・天文啓蒙,約30年中断,天体物理学博士（黄道光）,https://en.wikipedia.org/wiki/Brian_May,新聞/百科事典,高,1974中断・2007完成
Mayim Bialik,芸能,女優,N/A,不明,"University of California, Los Angeles (UCLA)",アメリカ,Overseas,No,Yes,不明,不明,母語（英語圏）,2007取得,演技を一時中断し学業へ,俳優業に復帰,演技と学業の両立,神経科学博士,https://alumni.ucla.edu/stories/mayim-bialik-00-phd-07/,大学/新聞,高,子役後に学業
ちゅうげん（Chuugen）,リクルート,リサーチエンジニア/データサイエンティスト,2年（2017-2019）,アラサー（~30）,Pennsylvania State University,アメリカ,Overseas,Yes,No,No（大学が学費・生活費）,日本の奨学金は年齢制限で不可・米大学funding,TOEFL91/120,在学中（2020）,社会人後に研究の魅力を再発見,不明,TOEFL91・年齢で国内奨学金不可,実務経験・人脈を活用,https://note.com/micke/n/nbf8686b9a46b,note,中,2019/2退職
理系留学のすゝめ（chem_phd_ca）,民間企業,研究開発職,不明,不明,University of British Columbia,カナダ,Overseas,Yes,No,不明,不明,不明,在学中,修士では研究の立場が弱い,不明,日本の博士課程への違和感,学生でも研究者として扱われる,https://note.com/chem_phd_ca/n/n7477670a7242,note,中,化学
tkm2261（Takami Sato/佐藤貴海）,企業,OR/データアナリスト/MLエンジニア,不明,アラサー,University of California Irvine,アメリカ,Overseas,Yes,No,No（RA/TA）,大学RA/TA（給料）,TOEFL91,取得,給料制の構造化された博士教育,MLセキュリティ研究者,二重準備・TOEFL91・語学,米国の給料制PhDの価値,https://yutori-datascience.hatenablog.com/entry/2021/12/05/100810,個人ブログ/X,中,Kaggle GM
Ryo Kitamura（北村亮）,日本の電機メーカー,研究開発,不明,不明,Clemson University,アメリカ,Overseas,Yes,No,No（RA獲得）,大学RA,不明,在学中（2022/8）,水素エネルギー研究,不明,論文なし・GPA・分野変更,特許・研究資金運用経験,https://xplane.jp/enroll2022-5-ryokitamura/,XPLANE受験記,中,材料科学
Tatsuyuki Sekine（関根竜之）,宇宙techスタートアップ,データサイエンス研究職,不明,不明,University of Hamburg,ドイツ,Overseas,Yes,No,No（DAAD奨学金）,DAAD（船井・JASSOは不採用）,不明,在学中（2025/10）,分野を変えてPhDに挑戦,不明,GPA2.6・面接不合格,研究寄りの仕事が強みに,https://xplane.jp/enroll2025-9-sekine/,XPLANE受験記,中,素粒子→天体物理
Inoue（@inoue0426）,Web広告企業,機械学習エンジニア,不明,不明,University of Minnesota Twin Cities,アメリカ,Overseas,Yes,No,不明,不明,TOEFL54→IELTS6.5,在学中（2021頃）,客員研究で研究欲が再燃,不明,TOEFL54→IELTS6.5,地方大からトップ校博士へ,https://xplane.jp/2021enroll-13-inoue/,XPLANE受験記,中,CS
Lupinus,日本語教育分野,日本語教育の社会人,2年（全落ち後）,不明,University of Hawaii at Manoa,アメリカ,Overseas,Yes,No,不明（TA/RA）,TA/RAを重視,IELTS・GRE（再受験多数）,在学中（2024秋）,海外生活・アカデミック就職,不明,試験費用・秘密の出願準備,PhD全落ちからの再起,https://xplane.jp/enroll2024-5-lupinus/,XPLANE受験記,中,1度全落ち→再挑戦
Yuko Suzuki（鈴木ゆう子）,芸能・メディア,タレント/TV制作/MC,不明（長い）,37歳,Imperial College London,イギリス,Overseas,Yes,No,No（奨学金）,奨学金（名称不明）,不明（英国修士経験あり）,在学中（2021）,専門性を得て社会的インパクト,不明,妊娠中の両立,1年でMPhil突破,https://yuko.tv/doing-a-phd-in-your-30s/,個人サイト,中,37歳・科学教育
Masaki Adachi（安達雅樹）,企業,リサーチサイエンティスト,不明,不明,University of Oxford,イギリス,Overseas,Yes,不明,奨学金4件,Clarendon Fund/Oxford Kobe/渡邊財団/BCJA,不明,在学中/修了,不明,不明,UK奨学金は米国の33倍難関,個人で奨学金獲得,https://note.com/gernika/n/n69f34eaf5281,note,中,機械学習
加々美,文部科学省,研究開発政策担当（官僚）,不明,不明,MIT,アメリカ,Overseas,Yes,No,不明,不明,不明,取得（2017留学）,スタートアップ・エコシステム研究,文科省復帰→CIC Tokyo,不明,不明,https://bostonseeds.jp/2022/07/22/interview006/,インタビュー記事,高,分子生物学
青木俊介,東大院修士修了後に渡米,（社会人経歴は資料上不明確）,不明,不明（2014修士→約25）,Carnegie Mellon University,アメリカ,Overseas,No,No,不明,不明,不明,2020取得,自動運転/CPS研究,NII助教→Turing共同創業CTO,不明,GMのUltra Cruise開発に関与,https://ja.wikipedia.org/wiki/青木俊介_(研究者),百科事典/報道,高,ユーザー例示・社会人経由は不明確
成田海（Narita Kai）,記載なし,進学前就労は記事に明記なし,不明,不明,California Institute of Technology,アメリカ,Overseas,No,No,不明,大学funding（博士に資金）,英語に苦労,2021取得（2016開始）,国を越えた進学・研究環境,24M→3D Architech CEO,英語に苦労・週次徹夜,速い研究サイクル,https://note.com/bostonseeds/n/nc8c58fc36a2a,インタビュー記事,中,PhD後起業例
Yuki Fujishima,米国研究室,Research Associate（研究補助職）,不明,20代中盤,New York University,アメリカ,Overseas,No,No,No（米国PhD学費無料+生活費）,大学funding・日本財団検討,不明,在学中（2023）,神経科学の研究継続,不明,一人で出願準備・初回オファー0,トップ校複数オファー,https://yukifujishima.com/blog/2023/04/13/phd-application-ja,個人サイト,中,研究補助職経由
明田悠希（Aketa Yuki）,化学メーカー,研究職,2年,20代後半,Northwestern University,アメリカ,Overseas,Yes,No,なし（奨学金限定的）,社会人ゆえ応募可能な奨学金が限定的,不明,在学中（2025秋）,創薬・化学研究を深める,不明,出願が遅い・奨学金限定,6校出願4校面接,https://xplane.jp/enroll2024-aketa/,XPLANE受験記,中,化学
根来葉子,ホテルグループ,人事（採用統括）,約6年（修士後）,不明,Pennsylvania State University,アメリカ,Overseas,Yes,No,不明,不明,不明,在学中（2022秋）,人財育成研究に実務経験が必要,不明,書類・退職開示の心理負担,業務経験が研究に直結,https://xplane.jp/2022enroll-11-negoro/,XPLANE受験記,中,ホスピタリティ経営
NorwegianWood,病院,勤務医（臨床）,卒後4年以上,約30（卒後4年目）,Norwegian University of Science and Technology (NTNU),ノルウェー,Overseas,Yes,No,なし（大学給与約50万NOK/年）,大学給与（約50万NOK/年）＋スキルワーカービザ,不明,在学中（2022秋）,公衆衛生・疫学の研究,不明,数年の不合格,給与つきで研究専念,https://xplane.jp/enroll2022-9-norweigianwood/,XPLANE受験記,中,疫学・氏名非公表
Kazuki（一輝/@kkzw3308）,重工メーカー,航空宇宙R&D,2.5年,不明,Imperial College London,イギリス,Overseas,Yes,No,なし（中島記念財団奨学金）,中島記念国際交流財団（DAADは辞退）,IELTS5.5→6.5,在学中（2021/10）,極超音速機の開発,不明,英語・両立,財団奨学金を獲得,https://xplane.jp/2021enroll-15-kazuki/,XPLANE受験記,中,航空宇宙工学
roughsurface,民間企業,エンジニア（技術者）,不明（在職）,不明,イギリスの大学（不明）,イギリス,Overseas,No,Yes,あり（企業スポンサー）,企業スポンサー,不明,取得（時期不明）,不明,英国で勤務継続,Viva・研究削除指示,理系基礎力強化,https://ameblo.jp/roughsurface/entry-12280607993.html,個人ブログ,中,企業スポンサー
三宮（Sannomiya）,フリーランス（元看護師）,看護師→フリーランス公衆衛生,不明,不明,Lancaster University,イギリス,Overseas,No,Yes,不明,不明（オンライン向け奨学金はほぼない）,IELTS受験（スコア不明）,博士2023/9予定,公衆衛生を体系的に学ぶ・両立,フリーランス継続,フルタイムとの両立が厳しい,国際機関/NGO職の同期と交流,https://xplane.jp/2023enroll-7-sannomiya/,XPLANE受験記,中,オンライン博士・両立型
